abbr	len	ambiguous	raw	marked	in_other_tags	bare_narrative	ctx1	ctx2	ctx3
euphem.	7		18	0	0	18	.  ,    :     <LEND>     ¦ (von  ) adv.  , in der euphem. Redensart mit    :    , d. h.   u. s. w.     <div	            <div n="2">— c)       <div n="2">— d) euphem. für       ( ).       <div n="2">— e)  :          	                    <div n="1">— 2)  :           (euphem. für  )       — Davon partic. praet. pass.   <div 
Erll.	5		19	0	2	17	von   mit  )       (voc.). So nach  ,   :  ; vgl. Erll. zu   <LEND>     ¦ s. u.   mit   und   . <LEND>   	te Anrufungen, welche das Thieropfer einleiten.   Erll. zu                                   <LEND>     ¦	se, welche an   als   oder   (  u. s. w.; vgl.  , Erll. zu  ) gerichtet sind.       1.                   
Redupl.	7		17	0	0	17	  <div n="1">— 2)         zu     — Wird von   mit Redupl. abgeleitet. <LEND>     ¦ ( )   N. einer nach   be	. pr. eines Mannes   in   <LEND>     ¦ (von   mit Redupl.)       <LEND>     ¦   N. pr. eines indoskythische	. eines Grammatikers   <LEND>     ¦ (von 1.   mit Redupl.)        ; subst.    :   ( :                      
Uebers.	7		17	0	0	17	  . <LEND>     ¦ ( )   N. einer Gottheit   in der Uebers. von   <LEND>     ¦ (3.  )       <LEND>     ¦ (3. 	  (= 216 Kubik —    )             Tabellen in der Uebers. des     in     — Als   nach   Berechnung = 12 Pfu	schmückt und aus   isst.       (vgl. die deutsche Uebers. S. 172. fg.).         Nach dem   im   auch Bez. e
appell.	7		17	0	0	17	                ; vgl. mit der var. l. in   Diese appell. Bedeutung greift an vielen Stellen über in die fo	">— β) eines von   Beschützten:   (hier wäre eine appell. Auffassung zulässig)   <div n="3">— γ) des Liedve	="1"> 1)  :   (hier verlangt der zusammenhang die appell. Deutung, wenngleich im folg. Verse   Geburt von e
Neg.	4		17	0	1	16	—   ( ) —   ( )   —               (dazwischen das Neg.)   (dazw. das Neg.)     Ueber die Verbindung mit 	               (dazwischen das Neg.)   (dazw. das Neg.)     Ueber die Verbindung mit   s. u.   . Dieses 	elleicht eben so zu lesen ist).   mit   und einer Neg.  :       wird bisweilen durch   (vgl. 3.  ) erklä
Zusammens.	10		16	0	0	16	welchen er angerufen wird, sind:   . Erscheint in Zusammens. mit andern Göttern:   . Ist eine mächtige Gotthei	d     abgeleitet. <LEND>     ¦      ,  .       In Zusammens. s.   . <div n="v">— Vgl.   . <LEND>     ¦   =    	">— Vgl.   . <LEND>     ¦ (von  ) am Ende einer   Zusammens.: so und so viele  :     <LEND>     ¦   f.   <div 
entspr.	7		16	0	0	16	   ¦ (von  )  ,  ,     <div n="1"> 1)     (an der entspr. Stelle des   :  ; vgl.  ). <div n="1">— 2)       	¦ (  part. praet. pass. von  )      ,     (an der entspr. Stelle im   :  ). <LEND>     ¦ (  von  )   N. pr.	   ,   <LEND>     ¦ (von   mit  )      ; vgl. die entspr.  - Form             [Page1-0112] Die indischen Le
angebl.	7		15	0	0	15	( ) adv.  :           <LEND>     ¦   (bei den  ); angebl.   ( )   ( )   <LEND>     ¦ ( )               <LEN	    <LEND>     ¦ (wie eben) <div n="1"> 1)   =  , angebl. nur in Verbindung mit   und    ,  . 1. 2.        	auch  ;   schreibt                               (angebl. ved. aor., entsprechend dem klass.  )  ,       Na
astron.	7		16	0	1	15	ebend.   eines medicinischen Werkes ( )     eines astron. Werkes   eines Werkes über Omina     ist den Nach	 ) <div n="1"> 1)    :       <div n="1">— 2)     (astron.),   :   <div n="v">— Vgl.   . <LEND>     ¦ (von  	   <LEND>     ¦ (von  )       zu   <LEND>     ¦   astron. =       <LEND>     ¦ (von  , nom. pl. von 2.  )  
des.	4		33	0	18	15	     Hier weist   gleichfalls auf etwas Nachfolgendes. Nur selten geht der relat. Satz voran:           	ltenen, offenbar berühmten und vielgebrauchten Liedes. Die Deutung auf den Gott ist hier und in vielen a	 ersten Hälfte des 1sten Tages des zunehmenden Mondes. Wegen ihrer   heissen die 7 ersten  , wegen ihrer
zusammen.	9		15	0	0	15	e ind. Lexicographen und Grammatiker (          ) zusammen. Vgl.   in der Bed.   <div n="2">— e)  , mit dem a	e Belege u.   . In dieser Bedeutung fällt   mit   zusammen. <div n="1">— 7)  :   (v. l.   st.  )       =   <d	       In diesem Falle fällt   beinahe ganz mit   zusammen. <div n="v">— Vgl.   und   u.   4. — Im   zeigt   
Handschrr.	10		15	0	1	14	="v">— Vgl.   . <LEND>     ¦ ( )       =   In den Handschrr.  , das Wort stammt aber von   . <LEND>     ¦ ( ) 	     ¦,  ; imperf.  ; partic.  ;  :   (so mehrere Handschrr., auch  ;   schreibt                              	   caus.:     ungeachtet der Uebereinstimmung der Handschrr. und des Comment. augenscheinliche Verderbniss aus
condit.	7		14	0	0	14	   ¦,        ;   3. pl. ved.; in beiden futt., im condit. und aor. auch act.   —   : auch im imperf. (s. u.	           in                   zu     — pass.   (condit.  );  :                                     (vom M	          u.s.w.                 (in der Bed. des condit.). mit dem fut.  ,        ,           in          
demonstr.	9		14	0	0	14	Einem   beim relat. entspricht ein zweites   beim demonstr.:         <div n="1">— 4)  , in der Regel auf das 	           Auf ein   beim relat. folgt ein   beim demonstr.:       (s. u.   und  ). In Begleitung einer Negat	sen:                     Gerade so wird das pron. demonstr. gebraucht:     <div n="1">— 4) zum Ueberfluss sch
patr.	5		14	0	0	14	¦ (von  )   N. pr. eines Mannes:     <LEND>     ¦ patr. des   ( ):     nach      ,    .   heisst er      	den von dem Ebengenannten)       eines Juristen   patr. des                                    ,         	 im   <div n="2">— d) N. pr. eines Mannes mit dem patr.           <div n="1">— 2)         <LEND>     ¦   
pos.	4		16	0	2	14	      (v. l.  , vgl.  )    , v.l.     Folgt als Appos.:                    :                            	 =     und subst.:   (sc.           (sc.   (als appos. von  )         <div n="1">— 2)  :                	  :  ;   :     Compar. von einem nicht erhaltenen pos., der wohl zu 1.   zu ziehen ist. <LEND>     ¦ ode
priv.	5		17	0	3	14	). Eine negirende Partikel, die wie das griech.   priv., das lat.   und deutsche   nur in Verbindung mit 	    ¦ (von 1.  )    , nur in Verbindung mit dem   priv.; s.   . <LEND>     ¦ (wie eben)    :         <LEN	im   <LEND>     ¦ (von  ) in Verbindung mit dem   priv.        :       <LEND>     ¦ (von  ) s.   . <LEND>
pronom.	7		14	0	0	14	ei den Buddhisten.   in Verbindung mit einem adv. pronom.     zu   ,  . <div n="2">— b)  :     <div n="2">—	. eines Sohnes von     — Vielleicht von demselben pronom. Stamme, der in   enthalten ist. <LEND>     ¦,   u	 später  ; die übrigen casus regelmässig nach der pronom. Declination,     zu               <div n="1"> 1) 
versch.	7		15	0	1	14	 ein  :    ; vgl.   im   als     König der Manen, versch.   im   ein  ,   Sohn der     einer der   im 4ten 	 ¦ (1.   1,c. +  )   N. eines der 11     im       versch.   in   ein Beiname     <div n="v">— Vgl. u. 1.   	(2.  )   N. pr. ein Sohn von       ein Sohn       versch.      <div n="v">— Vgl. die vorhergeh. Ww. <LEND> 
vorangeh.	9		14	0	0	14	vielleicht mit beabsichtigtem Anklange an     mit vorangeh. neg.  ) und   . <LEND>     ¦ (2.  )   pl. (erg.  	"1">— 3)   in Verbindung <div n="2"> a) mit   und vorangeh.    :             <div n="2">— b) mit   <div n="3"	    :   oder     Vgl. auch u.   und  .  mit einem vorangeh. Zahlworte:       In derselben Bed.             sc
Ang.	4		13	0	0	13	Vgl.   . <LEND>     ¦   <div n="1"> 1)       ohne Ang. einer Aut. Vgl.   . <div n="1">— 2) N. pr. eines 	t suchte man darin die Trias  ,   und   (    ohne Ang. der Aut. Vgl.   ). Die übliche Bezeichnung für   	"> 1)        :     <div n="1">— 2)     ( )   ohne Ang. einer Aut.; vgl.   . <LEND>     ¦ (von  ) <div n=
Autor.	6		13	0	0	13	d,   im   <LEND>     ¦ ( )         führt dieselbe Autor. auch für   an. <LEND>     ¦ ( )   <div n="1"> 1) 	)   im   <div n="2">— b)         Nach der letzten Autor. und nach   zu   ist   und         Vgl.   und   . 	v n="1"> 1)   viell.  :         ohne Angabe einer Autor.; vgl.   . <div n="1">— 2)   (parox. nach  )  :   
Bezz.	5		13	0	0	13	vom partic. von 2.  )    :     (daher   unter den Bezz. für  ).     <LEND>     ¦ (von  )   <div n="1"> 1)	.   . <LEND>     ¦   dass.:     Daher   unter den Bezz. für   <LEND>     ¦   =     im   <LEND>     ¦     	               —   wird das Wort, wie auch andere Bezz. für   und Namen  , unter den Synonymen von   aufg
Commentt.	9		13	0	0	13	ere durchlöchert sein musste; sie heissen bei den Commentt.  , in den Liedern   . Du.                     <di	       <LEND>     ¦ (von 2.  )    :           Die Commentt.:   <LEND>     ¦ (3.   von  ) <div n="1"> 1)  :   	 n="1">— 2)   heisst die  , unter welcher bei den Commentt. immer zunächst die sogenannte   d. h. diejenige d
Nom. pr.	8		13	0	0	13	im  ; vgl. [Page1-0005]   und   . <div n="1">— 7) Nom. pr. <div n="2"> a) eines  ,   <div n="2">— b) eines F	.)   <div n="1"> 1)               <div n="1">— 2) Nom. pr. <div n="2"> a) ein König aus der Sonnendynastie, 	v n="1"> 1)     u. s. w.  :     <div n="1">— 2)   Nom. pr. eines Mannes     Onkel von väterlicher Seite, ein
copul. comp.	12		13	0	0	13	 n="1">— 2)  , häufig                     (n. als copul. comp. gedeutet).   (von den Lexicographen eben so wie  	                     u.s.w.         Am Ende eines copul. comp.   n.:         <div n="1">— 3) übertragen (vgl.   	   im comp.:                     in einem solchen copul. comp. wird  , wie auch die übrigen pronomina, in den ob
d. Ww.	6		40	0	27	13	reiben pflegt, weil man sie von   ableitet; s. u. d. Ww. <div n="1">— 4)  :         — caus.  :     partic.	ener praepp. dienend; bei                   S. u. d. Ww. <div n="1">— 2) praep. <div n="2"> a)  : <div n="	icographen eben so wie   als   aufgeführt; s. u. dd. Ww.)                                                 
interrog.	9		13	0	0	13	nd    ;   ist in der Bedeutung von   oder   (3.   interrog. oder  ) aufzufassen. <div n="v">— Vgl.   . <LEND>	r Bedeutung   nach einem aus der Verbindung eines interrog. mit   oder   gebildeten indef. anzutreffen:      	  )       =   <div n="1">— 8) ein pron. oder adv. interrog. geht durch den Antritt von   in ein indef. über; 
lith.	5		59	0	46	13	on  ). Vgl.   . — Wohl von 1.  , vgl. zend.   und lith.   <LEND>     ¦ (von  )    , vom Stier   <LEND>   	1">— 4)  :   am Anf. einer in   unter dem Titel   lith. Grammatik. —   (?)   <div n="1">— 5)   N. pr. ein	:     <div n="1">— 3) =       Glosse in der Calc. lith. Ausg. von 1830 (GILD. 205). <div n="v">— Vgl.   .
redupl.	7		13	0	0	13	  nach  .:  ,   :   Besser wohl als unvollständig redupl. Form von   (nach der Analogie von  ) aufzufassen 	            [Page1-0544] ( )           (unregelm. redupl., als wenn   die Wurzel wäre)                :    	der. von 3.  ; vgl. auch   . <div n="p">—    :   (redupl. aor.)   <div n="p">—   med. selten act.  :       
superlat.	9		13	0	0	13	 1,  ,        ,       zu   Pleonastisch vor einem superlat. oder comparat., so wie vor   und  , wenn diese al	(oder    ,      ,    ,   mit blossem fut.:    ,   superlat.:                   adv.     — Das Wort wird von  	                  :      :         comparat.:     superlat. in derselben Bed.:       <div n="2">— c)  :      
Bes.	4		12	0	0	12	<LEND>     ¦ (von 1.  )   <div n="1"> 1)    :     Bes. gebr. vom Feuer:  ; mit und ohne Beisatz von     	um Vergleich herbeigezogenen, dasselbe ausgesagt. Bes. Arten des   sind   und  , Beisp.:   (vgl.  , wo i	    =     =     <div n="2"> a)   (der Götter); im Bes.    :     ( )                                     
Correl.	7		12	0	0	12	    ,      :                             =     In Correl. mit dem pron. rel.:   (so ist zu lesen mit  )   u	     Mit folgendem    :     <div n="1">— 2)  , in Correl. mit dem pron. rel.:             <div n="1">— 3)  	r Erkl. von     zu   Das wiederholte demonstr. in Correl. mit dem wiederholten relat.  :                   
Instr.	6		12	0	0	12	  ),   . In den Veden allein erscheinen überdies: Instr.Sg.m.n.  ,     (beide Formen auch als Adverbia im 	                               Der Gen.   und der Instr. pl.    :             (   ).               <div n=	späteren Sprache nur folgende Casus erhalten: Sg. Instr.  , Dat.  , Abl. Gen.  , Loc.   oder  ; Du. Gen. L
Nn.	3	Y	12	0	0	12	     <LEND>     ¦ =     <LEND>     ¦ und   und  ) Nn. prr. zweier Männer; s.   und   . <LEND>     ¦ =  	  ; mit dem acc.:     <LEND>     ¦ (  ) und   mm. Nn. prr. zweier     <LEND>     ¦   =     <LEND>     ¦	   und  ) f.   <LEND>     ¦ ( ) und   (von  ) ff. Nn. einer Pflanze, =   (scheint verschieden von   zu 
Nom. abstr.	11		12	0	0	12	(3.  )    :     <LEND>     ¦ (3.  )   Bildung des Nom. abstr.   <LEND>     ¦ (3.  )    :         <LEND>     ¦ (	    <LEND>     ¦ (3.  )    :       <LEND>     ¦   Nom. abstr. von     <div n="v">— Vgl.   . <LEND>     ¦   Name	ichert). <div n="v">— Vgl.   . <LEND>     ¦ ( )   Nom. abstr. von  , ein Redevorzug ( ) der   bei den     <LEND
enklit.	7		12	0	0	12	 Haupte des Orion         <LEND>     ¦ (von 2.  ) enklit. indecl. <div n="1"> 1)             (das ganze Lie	  . <LEND>     ¦ (von 2.  )     zu   nachgesetzte enklit. Verstärkungspartikel; besonders häufig nach kurze	 geben folgende Bedd. an:         <LEND>    2.  ¦ enklit. copula; zugleich einen leichten Gegensatz einschl
pot.	4		12	0	0	12	u  )   3. pl.   und  ; conj. 3. sg.   und   (  ); pot.  ; imperat.  ; imperf.  ; perf.    ),    : ( )   	LEND>    1.  ¦,  , mit praepp. auch    ,  . 3.  ; pot.   (auch  ),  ; ger.   und  ; pass.   und   (   ).	ch   (wegen  ) und   — Intens. imperat.   3. pl.; pot.  ; imperf.   2. und 3. sg.,       (hier   und  ; 
vom.	4		12	0	0	12	 2)     <LEND>     ¦ ( )       im   <LEND>     ¦ (vom. caus. von   mit  )    :     <LEND>     ¦ (von  ) 	      <LEND>     ¦   von       zu   <LEND>     ¦ (vom. caus. von  )       <LEND>     ¦       <LEND>    1	   (adv.)     <div n="v">— Vgl.   . <LEND>     ¦ (vom. caus. von   mit  ) <div n="1"> 1)     <div n="1">
Bedeutt.	8		11	0	0	11	           Die Lexicographen führen noch folgende Bedeutt. an:                                            , 	t dem inf.     — Die Lexicographen geben folgende Bedeutt. an:     ( ).   ( ).       ( )     ( ; dieser Arti	er Pflanzen,         — Die Lexicogrr. geben folg. Bedeutt.: <div n="2"> a)               <div n="2">— b)    
Buddh.	6		11	0	0	11	  . <LEND>    2.  ¦ (von  )           ein bei den Buddh. beliebter Mannsn.   <LEND>     ¦ ( )   N. pr. ein	     ¦ ( )  , N. einer Klasse von Göttern bei den Buddh.     ( ). <LEND>     ¦ (von  )  , N. einer Klasse 	 ¦ (von  )  , N. einer Klasse von Göttern bei den Buddh.     ( ). <LEND>    1.  ¦ (3.  )    :             
Kl.	3	Y	11	0	0	11	verschiedene Weisen: <div n="1"> I) nach der 2ten Kl. praes. 2. sg.  , du.  , pl.  ; med.  ; imperf. 2.	  pl.  , med.   . <div n="1">— II) nach der 1sten Kl. praes.   [Page2-0081]  ; med.  ; imperf.   (als a	 ; partic.   ( ). <div n="1">— III) nach der 5ten Kl. praes.   und  ; med.   (  ),  ; imperf.   und   (
identif.	8		11	0	0	11	  (  ) und   (  ) Beinn. von  .         mit der   identif.   <LEND>     ¦       zu   und   im   <div n="v">—	sonif.  ,   im   auf die   übertragen und mit ihr identif.     daher als Bein. der     im   <div n="2">— f) 	eines Sohnes von   und des Ahnen der  ,     Mit   identif.:   Einl. von   Comm. zu   <LEND>     ¦ oder   N. 
liturg.	7		11	0	0	11	¦ (3.  )       <LEND>    2.  ¦ (wie eben)    , im liturg. Sinne (s.  )   neben     in       (ein Wort)  , z	                    (sic)     zu   —  ; häufig in liturg. Büchern     und oft.       — der   person. ist ei	   zu   <LEND>     ¦   so v. a.   m.:   aus einer liturg. Formel   zu   Bildl. von  ; daher   unter den Bez
namentl.	8		11	0	0	11	ssprechen der Laute):     <div n="1">— 2)     und namentl.   ( )   ( )   ( ),   ( )       <LEND>     ¦ (wie 	2. <LEND>     ¦ (von   mit  )   <div n="1"> 1)   (namentl. zum Königthum)  -  u.s.w.     u.s.w.             	                         ( )     in der Medic.  , namentl. von übernatürlichen Krankheitsursachen;          
patronn.	8		11	0	0	11	  <div n="v">— Vgl.   . <LEND>     ¦ und   (    ) patronn. von       zu   und     zu   ; vgl.   <LEND>     ¦	>     ¦           <LEND>     ¦ (v. l.) und   (  ) patronn. von   und       zu   <LEND>     ¦ patron. von    	       <LEND>     ¦ (    zu   ) und   (    zu   ) patronn. von   . <LEND>     ¦ (von  ), davon         zu   
person.	7		11	0	0	11	fig in liturg. Büchern     und oft.       — der   person. ist einer der 8         —     und     heissen zwe	 <LEND>     ¦ ( )       <LEND>     ¦ ( )     β  , person. der Sohn   (oder    ) und Vater   ( )     (vgl. d	"1"> 1)  :                     <div n="1">— 2)  ; person.  :   [Page1-0976]           unter den bösen Geist
sog.	4		24	0	13	11	    ¦ ( )   <div n="1"> 1)   ( ), aus welchem die sog.   bereitet wird,   <div n="1">— 2) N. eines über 	n="1"> 1)  ; vom Schweife des Pfaues:     von der sog. Haube der Brillenschlange:     =       von schwer	 zu     Vgl.   unter 2.   . <LEND>     ¦ ( )    , sog.   (s.  )   <LEND>     ¦ ( )     G., ein Bein.    
Bildl.	6		10	0	0	10	     ¦ (von  )   <div n="1"> 1)                   Bildl.:   [Page1-0058]   <div n="1">— 2)     <LEND>     	  ¦ (von 1.  )           =             u.s.w.     Bildl.:   (  =     <LEND>     ¦ N. pr. eines Mannes    <	 einem Missverständniss einer ähnlichen Stelle)   Bildl.  :    ; vgl. weiter unten u. 3. <div n="1">— 2)  
